,Year,Team,Total_Athletes,total_medal,Country_host,GDP,NOC,Population
163,1972,Romania,39,40,Germany,332784248.6666667,ROU,20657957.0
164,1972,Russia,185,214,Germany,,RUS,131909000.0
165,1972,Serbia,18,18,Germany,,SRB,7424.7385
166,1972,South Korea,1,1,Germany,9889961112.0,KOR,33505406.0
167,1972,Spain,1,1,Germany,46492797365.0,ESP,34604469.0
168,1972,Sweden,19,22,Germany,40980345656.0,SWE,8122300.0
169,1972,Switzerland,8,8,Germany,,CHE,6260956.0
170,1972,Tunisia,1,1,Germany,1685217059.0,TUN,5287543.0
171,1972,Turkey,1,1,Germany,16256619964.0,TUR,36587225.0
172,1972,UK,27,29,Germany,148114000000.0,GBR,56086065.0
173,1972,USA,132,171,Germany,1167770000000.0,USA,209896000.0
174,1972,Uganda,2,2,Germany,1417787115.0,UGA,9988380.0
175,1976,Australia,23,23,Canada,97226546497.0,AUS,14033000.0
176,1976,Austria,1,1,Canada,40059206763.0,AUT,7565525.0
177,1976,Belgium,7,9,Canada,66029748931.0,BEL,9818227.0
178,1976,Bermuda,1,1,Canada,,BMU,53200.0
179,1976,Brazil,3,3,Canada,123709000000.0,BRA,110213082.0
180,1976,Bulgaria,39,39,Canada,,BGR,8758599.0
181,1976,Canada,19,23,Canada,173834000000.0,CAN,23518000.0
182,1976,Cuba,23,24,Canada,13027415244.0,CUB,9544271.0
183,1976,Czech Republic,14,15,Canada,,CZE,10125939.0
184,1976,Denmark,8,8,Canada,,DNK,5072596.0
185,1976,Finland,5,6,Canada,29494515597.0,FIN,4725664.0
186,1976,France,19,20,Canada,362001000000.0,FRA,54541493.0
187,1976,Germany,234,273,Canada,,DEU,78336950.0
188,1976,Hungary,51,55,Canada,873999413570.25,HUN,10598677.0
189,1976,Iran,2,2,Canada,,IRN,33737768.0
190,1976,Italy,30,31,Canada,226945000000.0,ITA,55718260.0
191,1976,Jamaica,1,2,Canada,2860411286.0,JAM,2055085.0
192,1976,Japan,32,41,Canada,518856000000.0,JPN,112771000.0
193,1976,Mexico,2,2,Canada,88003984000.0,MEX,62623763.0
194,1976,Mongolia,1,1,Canada,,MNG,1520865.0
195,1976,Netherlands,13,14,Canada,,NLD,13774037.0
196,1976,New Zealand,25,25,Canada,12861983284.0,NZL,3110500.0
197,1976,North Korea,2,2,Canada,13773906470.5,PRK,16554746.0
198,1976,Norway,6,6,Canada,32877805200.0,NOR,4026152.0
199,1976,Pakistan,16,16,Canada,11340000242.0,PAK,68813220.0
200,1976,Poland,72,73,Canada,25339318705.0,POL,34356300.0
201,1976,Portugal,2,2,Canada,,PRT,9355810.0
202,1976,Puerto Rico,1,1,Canada,,PRI,3043854.0
203,1976,Romania,48,55,Canada,1865810454.0,ROU,21551634.0
204,1976,Russia,257,286,Canada,,RUS,135147000.0
205,1976,Serbia,18,19,Canada,,SRB,7622.703000000001
206,1976,South Korea,17,17,Canada,21704752066.0,KOR,35848523.0
207,1976,Spain,6,6,Canada,114465000000.0,ESP,36137812.0
208,1976,Sweden,10,10,Canada,81716751698.0,SWE,8222286.0
209,1976,Switzerland,9,10,Canada,,CHE,6302504.0
210,1976,Thailand,1,1,Canada,14882747955.0,THA,43386841.0
211,1976,Trinidad,1,1,Canada,2442667573.0,TTO,1025658.0
212,1976,UK,31,32,Canada,241757000000.0,GBR,56211968.0
213,1976,USA,135,164,Canada,1688920000000.0,USA,218035000.0
214,1976,Venezuela,1,1,Canada,31303581395.0,VEN,13739142.0
215,1980,Australia,10,13,Russia,134794000000.0,AUS,14692000.0
216,1980,Austria,5,5,Russia,73937296655.0,AUT,7549433.0
217,1980,Belgium,1,1,Russia,116938000000.0,BEL,9859242.0
218,1980,Brazil,9,9,Russia,224969000000.0,BRA,121159761.0
219,1980,Bulgaria,87,90,Russia,,BGR,8861535.0
220,1980,Cuba,20,20,Russia,19584443288.0,CUB,9835177.0
221,1980,Czech Republic,51,51,Russia,,CZE,10304193.0
